,id,text,sentiment,nouns
0,143048389142134785,Ce soir c'est l'élection de #missfrance et je vais me faire un plaisir de NE PAS regarder.,"(0.15, 0.0)","['ce', ""soir c'est l'élection"", '# missfrance', 'je vais', 'faire un plaisir', 'pas']"
1,143048457261809664,"Ce soir c'est Miss France, pour ceux qui ne le savent pas :D !! #MissFrance","(1.0, 1.0)","['ce', ""soir c'est"", 'miss france', 'ceux qui ne', 'savent pas', 'missfrance']"
2,143049242305495040,#medtaha #MIT Miss France 2012 : c'est ce soir ! - TF1 http://t.co/7ERYcBp1 #àlaune,"(-0.9375, 1.0)","['# medtaha #', 'mit miss france', ""c'est ce soir"", 'tf1', '//t.co/7erycbp1 # àlaune']"
3,143049254485753856,@LorieOfficiel Bon courage Lorie et que la Meilleure gagne #MissFrance !,"(0.68125, 0.6)","['lorieofficiel bon', 'lorie', 'meilleure', 'gagne #', 'missfrance']"
4,143050282803281921,DSK dans le jury TF1 pour les Miss #missfrance2012,"(0.0, 0.0)","['dsk', 'tf1', 'miss', '# missfrance2012']"
5,143050329859170305,Miss France :D #TF1,"(1.0, 1.0)","['miss france', 'tf1']"
6,143050484637368320,Attendez moi TF1 !!! je suis pas encore prête !!! Miss France 2012 c'est moi !! #missfrance2012,"(0.42724609375000006, 0.15)","['attendez', 'tf1', 'je suis pas encore prête', 'miss france', ""c'est moi"", '# missfrance2012']"
7,143050503029407745,Salle comble pour la soirée Miss France sur #TF1. Ya vraiment des gens qui paient pour assister à ça ?,"(0.0, 0.25)","['salle', 'miss france', 'sur #', 'tf1', 'ya', 'vraiment des gens qui paient', 'assister à ça']"
8,143050607295610880,Boycott de Miss France comme chaque année! Tant qu'ils mettrons ce programme CONTRE le téléthon! je trouve ça digne de TF1!,"(0.625, 0.4)","['boycott', 'miss france', 'comme chaque année', 'tant', ""qu'ils mettrons ce programme"", 'contre', 'je trouve ça digne', 'tf1']"
9,143050730738163713,Miss France 2012 dans quelques minutes sur #TF1 without Genevieve de Fontenay,"(0.0, 0.0)","['miss france', 'dans quelques minutes sur #', 'tf1', 'genevieve', 'fontenay']"
10,143050858379231232,Je viens de voir @MenardMalika sur #tf1 &lt;3 ! Cette femme est trop belle !,"(0.5, 0.4)","['je', 'voir @', 'menardmalika', 'sur # tf1', 'cette', 'femme est trop belle']"
11,143050921541238784,@DenisBrogniart Vivement 20h50 pour la soirée sur Tf1 !! :) Je suis pour la Provence et la Bourgogne !! :),"(0.640625, 1.0)","['denisbrogniart vivement', 'soirée sur', 'tf1', 'je', 'provence', 'bourgogne']"
12,143050980655759360,Allez Alison Cossenet : Miss France Languedoc Roussillon #Miss France 2012 TF1 http://t.co/18fhDHMV,"(0.0, 0.0)","['allez alison cossenet', 'miss france languedoc roussillon', 'miss france', 'tf1']"
13,143051271551717376,"Va comater devant les Miss ce soir, enfin surtout critiquer #MissFrance","(0.0, 0.0)","['va', 'comater devant les', 'miss', 'ce soir', 'enfin surtout critiquer #', 'missfrance']"
14,143051464070275072,"Yeaaah Election de Miss France ce soiir, je vais regarder ça c'est certain ! :) #TF1.","(0.43125, 0.575)","['yeaaah', 'miss france', 'ce soiir', ""je vais regarder ça c'est"", 'tf1']"
15,143051618726854656,Ce soir on verra dieu il est sur TF1 dans le jury des miss !! Sauve qui peut !!!!,"(0.0, 0.0)","['ce', 'verra dieu il est sur', 'tf1', 'jury des', 'sauve', 'qui peut']"
16,143051858351620096,Mes préférées pour ce soir (en photo du moins) : Miss Tahiti et Miss Provence #MissFrance,"(0.75, 0.6)","['mes', 'ce soir', 'photo du moins', 'miss tahiti', 'miss provence', 'missfrance']"
17,143052016514641920,Dans les bouchons ac @Karimacharni  on veut rentrer voir #missfrance Attendez ns! (cc @lietteju @MenardMalika @ARosenfeldOffic @LauraTreves,"(0.0, 0.0)","['dans', 'les bouchons ac @', 'karimacharni', 'veut rentrer voir # missfrance', 'attendez', 'cc @ lietteju @', 'menardmalika', 'arosenfeldoffic', 'lauratreves']"
18,143052071116091392,Soirée #MissFrance ça va être fun!! Un défilé de bombasse ou ... De thon on verra bien! #TweetBitch,"(0.0, 0.2)","['soirée', 'missfrance', 'ça va être fun', 'un', 'bombasse ou ...', 'de', 'verra bien', 'tweetbitch']"
