0,1,2,3
miss tahiti,4,19,1
miss provence,1,19,0
miss corse,0,4,0
miss guadeloupe,3,22,0
miss normandie,0,12,0
miss centre,2,28,1
miss martinique,1,4,0
miss bretagne,0,12,0
miss reunion,6,52,2
miss gwada,0,5,0
miss picardie,2,4,0
miss languedoc,3,40,0
miss de ma région,0,1,0
miss pas de calais,5,25,0
miss poitou charente,0,9,0
miss champagne,1,11,1
miss guyane,5,31,0
miss midi pyrénées,0,1,0
miss bourgogne,1,9,0
miss mayotte,0,4,0
miss des îles,0,0,1
miss orléanais,0,1,0
miss alsace,4,51,0
miss bergère,0,1,0
miss limousin,0,4,1
miss côte dazur,0,1,0
miss rousse,1,4,0
miss pdl,1,1,0
miss loire,0,17,0
